Jugador,partido,walkingRhythm_ritmo,joggingRhythm_ritmo,lowSpeedRunningRhythm_ritmo,highSpeedRunningRhythm_ritmo,sprintRhythm_ritmo,veryHighSpeedRhythm_ritmo,acc_dist_0_1,acc_dist_1_2,acc_dist_2_3,acc_dist_3_4_aceleraciones,acc_dist_5_6_aceleraciones,max_acceleration_aceleraciones,num_efforts_0_1_aceleraciones,num_efforts_1_2_aceleraciones,num_efforts_2_3_aceleraciones,num_efforts_3_4_aceleraciones,num_efforts_5_6_aceleraciones,num_efforts_max_acc_aceleraciones,totalDistance,walkingDistance_umbral_est,joggingDistance_umbral_est,lowSpeedRunningDistance,highSpeedRunningDistance,sprintDistance,veryHighSpeedDistance,avgSpeed,maxSpeed,distance_above_60_percent,distance_above_75_percent,distance_above_85_percent,distance_above_90_percent,distance_above_95_percent_umbral_rel,maxSpeed_umbral_rel,esfuerzos_high_speed_running,esfuerzos_sprint,esfuerzos_velocidad_muy_alta,esfuerzos_above_75_percent,esfuerzos_above_85_percent,esfuerzos_above_90_percent,esfuerzos_above_95_percent_umbral_rel,esfuerzos_ponderados,anómalo
Guaita,Crystal Palace - Arsenal,40.50500310802708,13.234837467608536,0.9111189226340548,0.2567761967519089,0.0,0.0,4794.06,423.7,49.43,4.1,0.0,8.21,2,1,0,0,0,2,5213.672530027954,3846.085061784199,1256.6919336743229,86.51377876717896,24.3817558022496,0.0,0.0,3.289478621077021,23.124,175.53305480977446,44.45888445735571,27.600293062514783,22.05859936433947,11.33783510374622,23.256,2,0,0,6,2,2,2,13.8,1
Guaita,Liverpool - Crystal Palace,41.48667302997192,9.77659783297143,0.4532583439723821,0.2790426559166692,0.0,0.0,4698.84,482.24,45.87,4.31,0.0,7.78,3,0,0,0,0,2,5153.107808752475,4111.605875090417,968.9260225663552,44.92092360995622,27.654987485714692,0.0,0.0,3.1159691914435634,24.288,82.33529232494429,32.8582187527344,24.19368740347001,19.39765764141494,11.882115823350803,24.372,2,0,0,2,2,2,2,9.8,1
Guaita,Crystal Palace - Aston Villa,40.45908256048143,10.282222702977668,0.5666064981879022,0.0,0.0,0.0,4548.28,422.95,22.73,0.0,0.0,8.32,2,0,1,0,0,2,4932.571610392234,3889.6013337561503,988.4986165885964,54.47166004745763,0.0,0.0,0.0,3.0675003640650464,19.596000000000004,239.5165415639292,57.80476914196186,17.860300873771266,6.251629412365912,3.2145726778579107,20.088,1,0,0,8,3,1,1,14.1,1
Guaita,Manchester City - Crystal Palace,41.91015733353422,8.211815571822374,0.1792774928816885,0.0,0.0,0.0,4671.51,320.35,34.01,1.0,0.0,8.24,2,0,1,0,0,2,4941.762509957587,4117.393556970847,806.7561344944029,17.61281849234002,0.0,0.0,0.0,3.0184022664811865,17.22,275.5318158339579,53.96569175587307,20.939877735396475,9.907291695845144,3.7870948782486615,17.64,0,0,0,19,6,3,2,32.5,-1
Guaita,Crystal Palace - Brentford,38.71895448008284,11.798685602047945,1.013255623150858,0.0875452600810336,0.0,0.0,4519.09,455.09,73.0,1.89,0.0,8.28,3,0,0,0,0,2,4984.964905494982,3739.2184973232,1139.4383975417768,97.8534730464222,8.454537583559018,0.0,0.0,3.0894888858207934,23.292,159.8135270439984,34.23765935228148,8.454537583559018,6.255199378665285,5.025199378665286,23.616,2,0,0,5,2,1,1,10.0,1
Guaita,Newcastle - Crystal Palace,40.13730942247882,10.888635347223763,0.7077787043787361,0.0340181926289191,0.0,0.0,4734.5,394.66,55.0,4.33,0.0,8.47,3,0,0,0,0,2,5111.02913475433,3962.7565592813344,1075.0349678314024,69.87899148331262,3.358616158253186,0.0,0.0,3.102326749721464,20.568000000000005,274.0668630433425,48.82968393045776,25.18068284574623,13.043073203340496,4.434926728880663,21.096,2,0,0,10,6,4,2,24.8,1
Guaita,Crystal Palace - Chelsea,40.47440437251026,10.184147551764063,0.6790596913069906,0.3202691507985428,0.0277211797376252,0.0,4838.66,327.43,69.96,8.78,0.0,8.52,2,0,1,0,0,2,5175.451608204615,4052.8370245006954,1019.7726415166418,67.99651042287333,32.06961763329409,2.775814131060873,0.0,3.10158415446072,25.020000000000003,102.730023381265,45.54158737619112,25.72014475239496,17.169947790544402,8.20600942350963,25.236,4,1,0,6,2,2,1,12.3,-1
Guaita,Crystal Palace - Leeds,41.14294275668561,13.830909070548907,1.5772337292575758,0.0787260564170169,0.0,0.0,5138.26,577.53,73.73,1.72,0.0,7.07,1,2,0,0,0,2,5715.646886090967,4152.557212432279,1395.953652490501,159.19020029396714,7.945820874169517,0.0,0.0,3.388375904091945,20.796000000000003,460.3780350898637,102.67639266898328,32.72052092367908,19.64383732959248,7.945820874169517,21.096,2,0,0,22,5,4,2,35.7,-1
Guaita,Leicester - Crystal Palace,40.58428818559849,10.442501521830131,0.5202144181250598,0.0584067868734571,0.0,0.0,4634.9,400.76,44.67,1.15,0.0,8.02,2,0,1,0,0,2,5007.789074941985,3938.299325530477,1013.340347678396,50.4816071348558,5.6677945982002775,0.0,0.0,3.088157666941468,20.892000000000003,147.76192237393272,40.05417345479168,24.42120397431106,14.277968567724509,6.799190000151142,21.132,2,0,0,7,4,3,2,18.3,1
Guaita,Crystal Palace - Wolves,39.510249821929165,12.47727671465356,0.2773598204462708,0.0774176412866271,0.0,0.0,4852.32,378.34,30.46,3.38,0.0,8.21,2,0,1,1,0,2,5205.442132632557,3929.294344790856,1240.8651692722965,27.58343414338163,7.699184425955073,0.0,0.0,3.123325087983912,24.492000000000004,42.59880252658598,8.725856503862891,7.699184425955073,6.552886035482506,4.024802897863827,24.912,1,0,0,1,1,1,1,4.9,1
